Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
divine-smart-comboabc-paruthi-paal-refill-pack,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/FSSAI_New.png?v=1748002180,4,Divine Smart combo (Paruthi Paal 500 gm Refill pack (Cotton Seed Instant Latte Mix) + Natural ABC latte Milk Mix 500 gm Refill pack (Apple+Beetroot+Carrot),"","","","","","","","","","","","","","","","","","","",""
divine-bestseller-combo-paruthi-paal-cotton-seed-instant-latte-mix-natural-abc-latte-milk-mix-apple-beetroot-carrot-copy,Super Seller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Gulkand Honey (With Cooling Properties) - The Divine Foods,"<p><span data-mce-fragment=""1""><strong>Gulkand Honey :</strong></span></p>
<p><span data-mce-fragment=""1""><strong>1. WHY 'THE DIVINE FOODS' GULKAND?</strong> : 'The Divine Foods' Honey Gulkand contains fresh pink Damask Rose from Rayakottai, Tamilnadu. </span></p>
<p><span data-mce-fragment=""1""><strong>2. PURITY:</strong> 'The Divine Foods' Gulkand is free from added additives, artificial colors, flavors, and adulterants. It is 100% pure and has a natural taste.</span></p>
<p><span data-mce-fragment=""1""><strong>3. NATURAL COOLANT:</strong> 'The Divine Foods' Gulkand has cooling properties. It is a powerful antioxidant and a very good rejuvenator. </span></p>
<p><span data-mce-fragment=""1""><strong>4. BENEFITS:</strong> 'The Divine Foods' Gulkand is known to prevent menstruation disorders like heavy bleeding and irregular periods. It helps in relieving menstrual cramps too. </span></p>
<p><span data-mce-fragment=""1""><strong>5. IS IT CERTIFIED ?: '</strong>The Divine Foods' Gulkand is Fieche's tested for ensuring purity. It is one of the best tests done to check for the adulteration of honey in India. </span></p>
<p><span data-mce-fragment=""1""><strong>Paruthi Paal:</strong></span></p>
<p><span data-mce-fragment=""1""><strong>1. WHY 'THE DIVINE FOODS' COTTON SEED MILK MIX?: '</strong>The Divine Foods' Cotton Seed Milk Mix is a blend of unique ingredients such as Cotton seed milk, Palmyrah candy powder, Barley, Palm Jaggery, Liquorice, Thippli, Dry ginger, Aswagandha, Black pepper, Cardamom, Rice powder and Coconut powder.</span></p>
<p><span data-mce-fragment=""1""><strong>2. HOW TO MAKE IT?:</strong><span> </span>Take two spoons of 'The Divine Foods' Cotton Seed Milk Mix. Add 120ml of hot or warm milk. Stir the contents well and let them dissolve. It can also be consumed with warm water.</span></p>
<p><span data-mce-fragment=""1""><strong>3. GOOD AGAINST STOMACH WORMS:</strong><span> </span>'The Divine Foods' Cotton Seed Milk Mix is traditionally believed to be good against stomach worms. It prevents stomach worms and enhances bowel movements. </span></p>
<p><span data-mce-fragment=""1""><strong>4. WHERE IT IS FROM? :</strong><span> </span>The ingredients of 'The Divine Foods' Cotton Seed Milk Mix are sourced directly from local organic and non-GMO farmers in Madurai, Tamil Nadu. </span></p>
<p><span data-mce-fragment=""1""><strong>5. PURITY AND PACKAGING:</strong><span> </span>'The Divine Foods' Cotton Seed Milk Mix is free from added additives, artificial colours, flavours, adulterants and preservatives.</span></p>
<!---->",The Divine Foods,"","",divine_foods,FALSE,Title,Default Title,"",,"",,,500,shopify,100,deny,manual,1864.60,,TRUE,TRUE,"",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/TDF_BS_1x1_white_1.png?v=1722493420,1,Super Seller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Gulkand Honey (With Cooling Properties),FALSE,Super Seller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Gulkand Honey (With Cooling Properties),"Gulkand Honey : 1. WHY 'THE DIVINE FOODS' GULKAND? : 'The Divine Foods' Honey Gulkand contains fresh pink Damask Rose from Rayakottai, Tamilnadu.  2. PURITY: ...","","","",,new,TRUE,https://cdn.shopify.com/s/files/1/0600/8851/6813/files/TDF_BS_1x1_white_1.png?v=1722493420,g,"",689.00,TRUE,1864.60,1090.00,TRUE,1864.60,1090.00,active
divine-bestseller-combo-paruthi-paal-cotton-seed-instant-latte-mix-natural-abc-latte-milk-mix-apple-beetroot-carrot-copy,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/DF-EC-GULKANDROSEPETAL-01_6833d4bc-519b-4069-817c-4f146ac1834d.jpg?v=1722252145,2,Super Seller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Gulkand Honey (With Cooling Properties),"","","","","","","","","","","","","","","","","","","",""
divine-bestseller-combo-paruthi-paal-cotton-seed-instant-latte-mix-natural-abc-latte-milk-mix-apple-beetroot-carrot-copy,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/GulkhandHoney1.png?v=1652446274,3,Super Seller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Gulkand Honey (With Cooling Properties),"","","","","","","","","","","","","","","","","","","",""
divine-bestseller-combo-paruthi-paal-cotton-seed-instant-latte-mix-natural-abc-latte-milk-mix-apple-beetroot-carrot-copy,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/DF-EC-PARUTHIPAAL-01_8111c1bf-21e7-49dc-9891-b444a047c8fd.jpg?v=1719228226,4,Super Seller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Gulkand Honey (With Cooling Properties),"","","","","","","","","","","","","","","","","","","",""
divine-bestseller-combo-paruthi-paal-cotton-seed-instant-latte-mix-natural-abc-latte-milk-mix-apple-beetroot-carrot-copy,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/DF-EC-PARUTHIPAAL-05_42a61e43-1064-491b-93a8-d1a13b60d04b.jpg?v=1744350134,5,Super Seller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Gulkand Honey (With Cooling Properties),"","","","","","","","","","","","","","","","","","","",""
divine-bestseller-combo-paruthi-paal-cotton-seed-instant-latte-mix-natural-abc-latte-milk-mix-apple-beetroot-carrot-copy,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/TDF_BS_1x1_1.png?v=1722252378,6,Super Seller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Gulkand Honey (With Cooling Properties),"","","","","","","","","","","","","","","","","","","",""
divine-bestseller-combo-paruthi-paal-cotton-seed-instant-latte-mix-natural-abc-latte-milk-mix-apple-beetroot-carrot-copy,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/products/Gulkhandwhy.png?v=1688382080,7,Super Seller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Gulkand Honey (With Cooling Properties),"","","","","","","","","","","","","","","","","","","",""
divine-bestseller-combo-paruthi-paal-cotton-seed-instant-latte-mix-natural-abc-latte-milk-mix-apple-beetroot-carrot-copy,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/Untitled-1.jpg?v=1722252023,8,Super Seller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Gulkand Honey (With Cooling Properties),"","","","","","","","","","","","","","","","","","","",""
divine-bestseller-combo-paruthi-paal-cotton-seed-instant-latte-mix-natural-abc-latte-milk-mix-apple-beetroot-carrot-copy,"","","","","","","","","","","","","","","","","","","","","","","","",https://cdn.shopify.com/s/files/1/0600/8851/6813/files/FSSAI_New.png?v=1748002180,9,Super Seller Combo = Paruthi Paal (Cotton Seed Instant Latte Mix) + Gulkand Honey (With Cooling Properties),"","","","","","","","","","","","","","","","","","","",""
